category,part_number,opening_stock,quantity_used,balance,side,part_name,cost_part,inclusive,truck_brand,shelf,store
LAMPS,ZZ-TLED-KAMB,60,,60,N/A,AMBER LAMP, R149.00 , R6.90 ,#VALUE!,1(4),A
LAMPS,BZ96-201-XC1,1,,1,L/H,HEAD LAMP+INDICATOR,#REF!, R74.75 ,#VALUE!,3(5),A
LAMPS,BZ96-201-XC2,2,,2,R/H,HEAD LAMP+INDICATOR,#REF!, R171.35 ,#VALUE!,3(5),A
LAMPS,22/09/2020,8,0,#VALUE!,L/H, INDICATOR LAMPS  ,, R281.75 ,TATA,3(1),A
LAMPS,S0401440AG,2,,2,L/H, HEADLIGHT , R1 889.27 , R171.35 , ACTROS ,#REF!,A
LAMPS,S050097AG,10,,10,#REF!, INDICATOR LIGHT  , R255.81 ,#REF!, DAF ,#REF!,A
LAMPS,581243,4,,4,#REF!, INDICATOR LIGHT  , R472.76 ,#REF!, DAF ,#REF!,A
LAMPS,22/09/2020,8,0,8,R/H, INDICATOR LAMPS  ,, R-   ,TATA,3(2),A
LAMPS,SH-DT-1,8,0,#VALUE!,L/H,AMBER BUMBER INDOCATOR ,, R2 172.66 ,,3(1),
LAMPS,BZ97282GLED-2,7,0,#VALUE!,R/H,MP3 DRL,, R294.18 ,,1(1),A
LAMPS,BZ96261AS0,10,,10,L-R,  AMBER MARKER LAMP SQUARE ,, R543.67 ,,1(2),A
LAMPS,BZ97282GLED-1,6,0,8,L/H,MP3 DRL,, R-   ,,1(1),A
LAMPS,BZ96-261-GLED,5,,5,N/A,AMBER MARKER,#REF!, R-   , AXOR ,2(4),A
LAMPS,SACLEDMACA,50,,50,#REF!,MARKER LIGHT AMBER, R77.49 , R-   ,#VALUE!,#REF!,#REF!
LAMPS,SACLEDMACG,10,,10,#REF!,MARKER LIGHT GREEN, R83.39 , R-   ,#VALUE!,#REF!,#REF!
LAMPS,SACLEDMACR,10,,10,#REF!,"M,ARKER LIGHT RED", R83.89 , R-   ,#VALUE!,#REF!,#REF!
LAMPS,SACLEDMLA,9,,9,N/A,MARKER LIGHT ORANGE, R103.99 ,#REF!, MULTI ,2(4),A
LAMPS,463509,20,,20,#VALUE!,SIDE MARKER LIGHT, R324.88 , R89.11 ,#VALUE!,2(4),A
LAMPS,SACMER0587AG,1,,1,#VALUE!,LED TAIL LIGHT, R2 499.02 , R95.90 , MERCEDES  ,#REF!,#REF!
LAMPS,SACMER0588AG,1,,1,#VALUE!,LED TAIL LIGHT, R2 499.03 , R96.47 , MERCEDES  ,#REF!,#REF!
LAMPS,SACTL23LED,10,,10,#REF!,COMBO LED TAIL, R138.63 , R119.59 ,#VALUE!,#REF!,#REF!
LAMPS,BZ012-261-AS2,8,,8,R/H,AMBER MARKER LIOGHT ON STEP,#REF!, R373.61 , ACRTOS ,2(4),A
LAMPS,BZ01261GSA1,10,,10,LH, AMBER MARKER ON STEP ,, R2 873.87 , ACTROS ,1(1),A
LAMPS,BZ90-261-LED,20,,20,L/H, LED ROOF MARKER LIGHT , R165.00 , R2 873.88 ,#VALUE!,2(4),A
LAMPS,20,3,,3,N/A, FUEL TANKER MARKER LIGHT ,#REF!, R159.42 ,#VALUE!,2(4),A
LAMPS,ZZ-TLED-ZNRCS,1,,1,#REF!, OVAL MARKER ,#REF!,#REF!,#VALUE!,2(4),A
LAMPS,9608202056,1,,1,R/H, FOG LAMP , R1 732.02 , R-   ,#VALUE!,OUT,A
LAMPS,9618203759,1,,1,R/H, LAMP UNIT , R9 599.29 , R189.75 ,#VALUE!,OUT,A
LAMPS,BZ01-261-GSA2,1,,1,N, AMBER MARKER , R395.00 ,#REF!,#VALUE!,OUT,A
LAMPS,BZ01-003-LSSB2,1,,1,#REF!, MIDDLE STEP BOX , R2 450.00 ,#REF!,#VALUE!,OUT,A
LAMPS,BZ01-003-SVRC2,1,,1,#VALUE!, SWIVEL STEP PLAT , R2 250.00 , R1 991.82 ,#VALUE!,OUT,A
LAMPS,BZ01-011-ML2,1,,1,#VALUE!, CORNER LOW CAB , R4 750.00 , R11 039.18 ,#VALUE!,OUT,A
LAMPS,BZ01-201-M2,1,,1,#VALUE!, BUMPER , R895.00 , R454.25 ,#VALUE!,OUT,A
LAMPS,BZ01-012-LXC2,1,,1,#VALUE!, MESH COVER , R595.00 , R2 817.50 ,#VALUE!,OUT,A
LAMPS,BZ01-282-EMP52,1,,1,R/H, LOWER FOG LAMP GLOBE , R2 095.00 , R2 587.50 ,#VALUE!,OUT,A
LAMPS,9608260159,1,,1,#VALUE!, COVER FRAME , R1 770.72 , R5 462.50 ,#VALUE!,OUT,A
LAMPS,SH-DT-2,10,0,#VALUE!,R/H,AMBER BUMBER INDOCATOR ,, R1 029.25 ,,,
LAMPS,BZ95201-G1,1,0,#VALUE!,L/H,HEAD LAMP, R1 298.18 , R684.25 ,,4(1),A
LAMPS,BZ95201-G2,0,0,#VALUE!,R/H,HEAD LAMP,, R2 409.25 ,AXOR,,
